Variable,Sites,Heritability,SE
Density,Asselin,0.58,0.1
b0,Asselin,0.2,0.06
b1,Asselin,0.1,0.04
b2,Asselin,0.1,0.04
b0.lw.p,Asselin,0.02,0.001
b1.lw.p,Asselin,0.028,0.01
b2.lw.p,Asselin,0.09,0.01
b0.lw.d,Asselin,0.25,0.07
b1.lw.d,Asselin,0.07,0.03
b2.lw.d,Asselin,0.01,0.001
V,Asselin,0.000006,0.0000004
V.lwd,Asselin,0.13,0.05
V.lwp,Asselin,0.1,0.005
lw.p,Asselin,0.08,0.04
lw.d,Asselin,0.27,0.07
Density,St-Casimir,0.71,0.1
b0,St-Casimir,0.3,0.07
b1,St-Casimir,0.06,0.03
b2,St-Casimir,0.03,0.02
b0.lw.p,St-Casimir,0.015,0.001
b1.lw.p,St-Casimir,0.037,0.02
b2.lw.p,St-Casimir,0.10,0.04
b0.lw.d,St-Casimir,0.33,0.07
b1.lw.d,St-Casimir,0.10,0.04
b2.lw.d,St-Casimir,0.02,0.02
V,St-Casimir,0.000003,0.0
V.lw,St-Casimir,0.08,0.03
V.lwp,St-Casimir,0.11,0.005
lw.p,St-Casimir,0.03,0.07
lw.d,St-Casimir,0.3,0.07
